highway	name	@type	@id	@lat	@lon
proposed	TransRegio Feleac ( Centura Municipiului Cluj-Napoca )	way	670790686		
		node	6281699546	46.7777365	23.6550946
		node	6281699547	46.7770652	23.6549245
		node	6281699548	46.7762735	23.6544029
		node	6281699549	46.7758448	23.6537076
		node	6281699550	46.7728470	23.6441979
		node	6281699552	46.7706008	23.6415244
		node	6281699556	46.7645418	23.6376337
		node	6281699558	46.7563477	23.6255368
		node	6281699559	46.7545611	23.6242014
		node	6281699560	46.7497275	23.6216824
		node	6281699562	46.7476069	23.6160655
		node	6281699563	46.7469980	23.6151602
		node	6281699564	46.7455662	23.6141782
		node	6281699566	46.7413175	23.6138752
		node	6281699567	46.7405738	23.6135982
		node	6281699568	46.7397662	23.6128840
		node	6281699569	46.7388188	23.6109041
		node	6281699571	46.7358031	23.5978777
		node	6281699572	46.7352897	23.5964057
		node	6281699575	46.7339492	23.5940529
		node	6281699576	46.7326042	23.5918030
		node	6281699577	46.7316647	23.5898976
		node	6281699578	46.7313206	23.5870436
		node	6281699579	46.7312047	23.5751389
		node	6281699580	46.7319454	23.5728782
		node	6281699581	46.7324453	23.5721424
		node	6281699582	46.7356251	23.5695031
		node	6281700296	46.7492282	23.5391440
		node	6470978717	46.7409929	23.5633135
		node	6470978718	46.7383166	23.5671759
		node	6470978719	46.7398165	23.5652877
		node	6481148737	46.7526052	23.6228012
		node	6481148738	46.7490470	23.6207654
		node	6481148739	46.7462111	23.6144982
		node	6481148740	46.7309747	23.5779330
		node	6542529975	46.7605690	23.4018230
		node	6542529976	46.7609106	23.4062433
		node	6542529977	46.7605984	23.4108889
		node	6542529978	46.7596355	23.4149444
		node	6542529979	46.7590806	23.4181684
		node	6542529980	46.7589703	23.4198475
		node	6542529981	46.7592533	23.4361123
		node	6542529982	46.7589850	23.4381455
		node	6542529983	46.7572063	23.4418309
		node	6542529984	46.7544168	23.4456610
		node	6542540585	46.7534980	23.4473938
		node	6542540586	46.7520792	23.4542602
		node	6542540587	46.7513736	23.4609657
		node	6542540588	46.7509509	23.4632349
		node	6542540589	46.7481464	23.4711206
